id,comments,sentiment,magnitude
298,"Network interconnections are key, and right now they are a little shaky. That's not really a criticism as the 1st St. construction etc makes it tough, and that's being addressed. In general, the simpler it is to get from residential locations to downtown, and to the b2b trail, the more I will use. The number one issue I issue I see is people driving cars getting confused, and turning into the protected lane. The second biggest issue (including city vehicles!) is people parking or stopping vehicles in the bike lane, and obstructing both lanes.",-0.4,2.9
299,NO,0.3,0.3
300,"The bump-out on Division is really great. I don't want to criticize anything because the changes are so good already. But if you really want to know what would be best, in general, it is better to have one-way protected bike lanes on each side of the road than a single two-way bike lane on one side. When there's a single two-way bike lane, it creates confusing intersections, and I always worry cars will freak out and react unsafely when I go the way the built infrastructure is taking me. I know Division is currently a one-way street, but when it's converted to two-way, the bike lanes belong on either side, not to one side. Thank you!",0.2,4.1
301,"For Miller/Catherine, Division, South Main -- make these permanent like the William Street Bikeway. I have less experience with the others, but they seem like a good idea.",0.4,0.8
302,Make them permanent!,0.5,0.5
303,Discontinue! Not enough benefit and lack of utilization by citizens!,-0.1,1.3
304,Better signage!!! It took us WEEKS to figure out the Packard section was for walking/biking and not just weird construction that never had a work crew. In general there needs to be better (or any??) Signage to know that use is allowed. Honestly I never heard of this project until just recently. It would also be helpful if some of the routes were connected.,-0.2,2.1
305,"All silly, vastly, VASTLY, underused, sets up bikes to feel entitled ergo dont have to follow traffic rules. ",-0.3,0.3
306,Division: delivery trucks parking in the lanes at the Foundry and YUonoin apartments make this stretch super scary. That needs to be resolved for the 2way to work. Also the traffic from Carey street does NOT expect bikers coming from the north over the broadway bridge. That needs to not be a yield for motorists. Miller/ Catherine: interface with Division needs to be redone. Very unnerving to bike there.,-0.5,3.6
307,More clarity about the projects intent to increase walking. I see the signs and think Im not supposed to walk there if I dont live there.,-0.2,1.0
308,I still find that part of division just before the bridge to be really confusing,-0.6,0.6
309,I would eliminate the Packard Street (from Eisenhower to Platt) project as it's a complete disaster for motor vehicle traffic. It's unmarked and as far as I've seen unused and not understood. It looks just like a delayed construction project. USELESS.,-0.4,2.4
310,"I am both a walker and a driver. I think that blocking out two lanes on Packard is NOT a good plan. Please reconsider. It just makes traffic worse. Today I had somebody pass me using the left turn lane to do so, while I was going the speed limit. I do a lot of walking but manage to stay a social distance without needing the street blocked out.",-0.4,3.7
311,This program is not needed.,-0.7,0.7
312,Put in permanent protected bike lanes in all locations.,0.2,0.2
313,All.,0.2,0.2
314,I prefer that you fix the roads in the downtown area first. In my opinion that will increase access to biking more than creating the pilot project bicycling roads.,0.1,0.7
315,Division needs needs way more semi-permanent barriers to feel safe (the non-cone rectangular kind that are filled with sand or water) or a TON more of the stick/skinny cones separated barriers. This is a very important bike downtown connection from North campus Plymouth/Nixon area,-0.1,1.0
316,Mostly Miller and Division,0.0,0.0
317,"I would either pur in skywalks or an underground path. At the very least, you could put bike lanes on the easement, so they are on the same level as the sidewalk. The bike lanes are not creating a safer environment. They actually make things more dangerous, because the bikes and pedestrians cannot be expected to have knowledge of the rules of the road, because there is not licensing required. They are also hurting traffic patterns, which is harming commuters. During the winter, the traffic will only get worse, and the bike lanes will be useless.",-0.5,3.4
318,Eliminate the whole project and start over,-0.4,0.4
319,Put us out of our misery and just close the entire city to car traffic.,-0.4,0.4
320,"I've used the Miller/Catherine route to go to the farmer's market. It's fine, although that area felt pretty safe to bike in before so I'm not totally sure it's needed. Division St needs to have some way of stopping cars from parking in the bike lanes, because it's being used as an extra-convenient parking space. On the Broadway Bridge bikers don't seem to realize it's a bike lane - maybe green paint would help? South Main: a little confusing how to turn left onto Hill (going S) or Madison (going N) without either doglegging and blocking the path for others or having to exit the cones mid-block. Also, the way the billboards are placed makes you go slightly into traffic if you're turning right into the bike lane. State/N U: Cars ignore it completely. It's definitely needed though! Packard @ Hill & State: the NW-bound side is great but the SE-bound side basically requires you to go over all the major potholes. Packard at Eisenhower: maybe better signage? Otherwise all good!",-0.2,4.6
321,Better long lasting identification. And some parking in downtown.,0.3,0.7
322,wouldnt change anything,0.5,0.5
323,"For any/all the are continued, better markings are necessary. Cones are confusing, looks like construction. The speed bumps and oddly marked arrows on the Miller street one are confusing and make it challenging when coming downhill.",-0.4,1.5
324,Miller/Catherine Division Street South Main,0.4,0.4
325,"please put the lanes back on Packard, it's a nightmare trying to go anywhere because it's a big commuter street",-0.8,0.8
326,both packard locations and division st. as well as state and north university,0.0,0.0
327,Please just get rid of them.,-0.8,0.8
328,Blocking off two lanes on South Main seems excessive. Traffic backs up a lot. Only one lane is needed for walkers/bikers. ,-0.5,1.6
329,Miller/Catherine - close the street to cars entirely and open it to pedestrians and cyclists Division Street - close the street to cars entirely and open it to pedestrians and cyclists South Main - close the street to cars entirely and open it to pedestrians and cyclists State & North University - close the street to cars entirely and open it to pedestrians and cyclists Packard (at Hill & State) - close the street to cars entirely and open it to pedestrians and cyclists Packard (from Eisenhower to Platt) - close the street to cars entirely and open it to pedestrians and cyclists,-0.1,0.1
330,"If you intend on moving vehicular traffic around the city center, then start by designing it for that purpose. What we have today is a mishmash of terrible experiences for all involved. I primarily drive through AA, and added 15 minutes to my 15 minute drive yesterday to get around for the benefit of the few, not the many. I love AA and love a city that cares about it's citizens, but why no voice from the drivers? I only see opinions of the pedestrian or bicyclists. The roads were designed to handle large amts of vehicular traffic. Until you can safely redesign how the thoroughfares in AA move the huge amount of traffic, efforts like this simply fail on top of failures of leadership years past. You cannot drive through or around AA, and have upwards of 75,000 commuters. Rearrange the roads to split Main street to go around the center of town. Use eminent domain to buy buildings and remove them or add raised streets.",-0.3,3.7
331,Think 1/2 the people in town due to covid and still causing traffic jams,-0.6,0.6
332,I wish it were the way it used to be.,-0.5,0.5
333,For these to be used in meaningful volumes a more permanent barrier should be constructed (although I would oppose this). I dont trust drivers to not be distracted/inattentive these days and dont believe the temporary barriers provide any real protection to pedestrians/cyclists if a vehicle were to accidentally enter the designated space.,-0.4,0.9
334,Divison St. is scary! There is a big speed bump area. No thanks! Then you are counting on cars to stop at stop signs too at Miller/Catherine. Scary scary! I won't bike downtown ever again until the Healthy Streets are gone!,-0.2,2.9
335,"I would only suggest adding more, because the more places people can rely on them to get, the more they will use them.",0.1,0.1
336,"Division: The speed bumps are big, and not ideal for bikes. I would seek other ways to deter cars, or incorporate narrow channels through the speed bumps for bikes.",-0.5,1.0
337,"Division: Restore the traffic signals, I think they are safer than stop signs. There is no confusion on who is going. With the upcoming development in lower town, Im concerned that taking away a lane of traffic will create backups. Im no fan of the biking options over the bridge. I prefer the using sidewalk if I have to cross that bridge - its wide enough for bikes going slowly and walkers. South Main: there needs to be a turning lane for cars. Its hard to make a left turn because there are fewer breaks in traffic.",0.0,3.7
338,The only change I recommend: make it all permanent!,0.7,0.7
339,"Turning major thoroughfares, like Division, into 1 lane for car traffic and one lane for bike traffic is a BAD idea! I live on the northeast side, and have witnessed at least 3 times the traffic backups this has caused on the Broadway bridge. I cant even imagine what the backup would be if there werent people working from home. Meanwhile, I counted at most 4 cyclists in their dedicated lane on one occasion. The other times I observed it was 1 or 2. Read the comments on Nextdoor about the Healthy Streets Project. Even some serious cyclists dont think this is a good idea.",-0.5,3.5
340,"We need education for drivers on how to act around these pilot bike lanes. As an example, while biking on the Division St pilot bike lane, a driver's ed car (with no students in it, just a driver) pulled in ahead of me to park in the bike lane!",-0.3,0.7
341,There are speed bumps on division bike lanes which are really dangerous because they are car-sized (i.e. raised >9 inches),-0.6,0.6
342,"Easier ways to enter/exit bike lanes (all, but particularly the opposite direction on Division).",0.0,0.0
